ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
12,Karnataka,Bangalore,Bangalore Suburban,Apartment,2,1322,299.69,22669.77,2018,Unfurnished,8,14,6,1,1,High,Double,High,Intercom,North-West,Agent,Ready to Move
13,Maharashtra,Mumbai,Mumbai Rural,Villa,3,1120,265.93,23743.44,2004,Fully Furnished,19,25,20,5,2,Low,Single,High,"CCTV,Gym,Club House",South-East,Builder,Ready to Move
14,Uttar Pradesh,Noida,Noida Suburban,Apartment,2,781,92.36,11826.09,1990,Fully Furnished,8,13,34,1,1,Low,Single,Medium,"Swimming Pool,Lift,Garden,Club House,Visitor Parking,Gym,Intercom",North-West,Owner,Ready to Move
15,Maharashtra,Mumbai,Mumbai Central,Apartment,2,1012,382.08,37754.76,1994,Semi-Furnished,25,31,30,3,1,Medium,None,High,"Lift,Visitor Parking,Club House,Intercom,Swimming Pool,Garden,CCTV",South-West,Owner,Under Construction
16,West Bengal,Kolkata,Kolkata Rural,Independent House,4,2149,154.31,7180.73,2012,Fully Furnished,28,30,12,0,1,Medium,Double,Low,Play Area,North-East,Builder,Ready to Move
17,Tamil Nadu,Chennai,Chennai Rural,Apartment,3,1402,123.74,8826.08,2001,Semi-Furnished,22,27,23,0,4,High,Single,Medium,,East,Builder,Ready to Move
18,West Bengal,Kolkata,Kolkata Outskirts,Apartment,2,1195,132.25,11067.24,2012,Fully Furnished,26,31,12,7,0,Low,Double,High,"Garden,Gym,Swimming Pool,Lift,Play Area",West,Owner,Resale
19,Delhi,Delhi,Delhi Prime,Villa,2,846,359.82,42531.72,2006,Unfurnished,21,25,18,6,0,Medium,Single,High,"Garden,Gym",North-East,Builder,Ready to Move
20,West Bengal,Kolkata,Kolkata Suburban,Apartment,5,2758,370.96,13450.29,1995,Fully Furnished,23,24,29,1,3,High,Single,Medium,"Gym,Swimming Pool,Intercom,Play Area,Visitor Parking,CCTV,Garden",North,Owner,Under Construction
21,West Bengal,Kolkata,Kolkata Suburban,Apartment,4,2700,365.31,13530.07,2017,Fully Furnished,25,33,7,3,4,High,Double,Medium,,North-West,Builder,Resale
22,Maharashtra,Mumbai,Mumbai Rural,Villa,4,2048,485.1,23686.45,1990,Fully Furnished,23,24,34,1,0,Medium,Single,Medium,"Garden,Play Area",West,Agent,Resale
23,Madhya Pradesh,Indore,Indore Suburban,Apartment,4,1899,87.03,4582.81,1990,Unfurnished,12,16,34,0,1,Medium,None,Medium,Power Backup,North-East,Builder,Resale
24,Rajasthan,Jaipur,Jaipur Suburban,Independent House,3,1392,133.23,9571.45,2023,Unfurnished,27,29,1,1,5,Medium,None,High,,North-East,Builder,Resale
25,Maharashtra,Nagpur,Nagpur Suburban,Apartment,3,1819,116.8,6420.99,2005,Fully Furnished,24,31,19,6,2,Low,Single,Low,"Lift,Gym,Swimming Pool,Garden,Power Backup,Visitor Parking,Intercom",South,Builder,Resale
26,Tamil Nadu,Chennai,Chennai Outskirts,Apartment,3,1531,190.42,12437.64,2015,Unfurnished,16,25,9,0,0,Medium,Single,Low,"Swimming Pool,Visitor Parking,Lift,CCTV,Power Backup,Club House,Play Area",South-East,Agent,Ready to Move
27,Maharashtra,Mumbai,Mumbai Suburban,Independent House,2,1164,388.08,33340.37,2004,Semi-Furnished,27,29,20,7,0,High,None,Medium,,North,Owner,Resale
28,West Bengal,Kolkata,Kolkata Central,Apartment,3,1343,165.32,12309.83,1995,Fully Furnished,8,13,29,3,1,Medium,Single,Medium,"Club House,Play Area,Garden,Swimming Pool,Visitor Parking",South-West,Builder,Ready to Move
29,Maharashtra,Pune,Pune Outskirts,Penthouse,5,2354,470.66,19994.25,2019,Unfurnished,5,11,5,7,5,Medium,Double,Medium,"Gym,Visitor Parking,CCTV,Lift,Swimming Pool,Play Area,Garden",North,Owner,Under Construction
30,Tamil Nadu,Chennai,Chennai Central,Apartment,4,2044,349.94,17120.42,1999,Semi-Furnished,5,7,25,4,1,High,Single,High,,North-East,Agent,Resale
31,Delhi,Delhi,Delhi Suburban,Independent House,1,689,242.18,35149.06,2003,Fully Furnished,8,13,21,3,5,High,None,Medium,"Visitor Parking,CCTV,Club House,Lift,Play Area",North-West,Agent,Under Construction
32,Maharashtra,Pune,Pune Central,Apartment,2,847,160.31,18926.96,1995,Fully Furnished,7,10,29,5,2,Medium,Single,Low,"Play Area,Power Backup,Swimming Pool,Intercom,CCTV,Club House",North,Owner,Resale
33,Telangana,Hyderabad,Hyderabad Central,Apartment,3,1570,256.49,16336.72,2004,Semi-Furnished,19,27,20,4,4,Medium,Single,High,"Visitor Parking,Lift",East,Agent,Ready to Move
34,West Bengal,Kolkata,Kolkata Suburban,Apartment,4,1806,265.16,14682.09,2001,Fully Furnished,0,8,23,3,3,High,Double,Low,"Play Area,Power Backup,Club House,Lift,CCTV,Swimming Pool",North-West,Agent,Resale
35,Maharashtra,Pune,Pune Prime,Apartment,1,735,168.69,22951.6,2015,Fully Furnished,19,28,9,2,5,Medium,Single,High,,North-East,Owner,Under Construction
36,Madhya Pradesh,Indore,Indore Suburban,Apartment,2,1182,88.54,7490.47,1996,Fully Furnished,28,36,28,0,4,Medium,Single,High,"Lift,Garden,Visitor Parking,Power Backup,CCTV",North-West,Owner,Ready to Move
37,Gujarat,Surat,Surat Prime,Villa,4,1549,242.42,15650.36,2017,Semi-Furnished,22,29,7,7,1,High,Single,Medium,"Swimming Pool,Garden",East,Owner,Ready to Move
38,Gujarat,Surat,Surat Suburban,Apartment,4,1699,138.38,8144.57,2007,Semi-Furnished,20,27,17,6,1,Low,Single,Low,"Play Area,Visitor Parking,Intercom,Gym",West,Builder,Resale
39,Maharashtra,Pune,Pune Outskirts,Villa,4,1886,300.54,15935.29,2006,Unfurnished,22,23,18,5,0,Medium,Single,Medium,"CCTV,Gym,Club House,Visitor Parking,Intercom",East,Agent,Under Construction
40,Maharashtra,Pune,Pune Suburban,Independent House,3,1549,310.88,20069.95,2016,Fully Furnished,21,26,8,0,5,High,Single,Medium,"CCTV,Club House,Lift,Intercom",North-West,Owner,Ready to Move
41,Karnataka,Bangalore,Bangalore Suburban,Villa,2,943,249.1,26416.1,2011,Semi-Furnished,14,22,13,4,0,Medium,Single,Low,"Club House,Lift,Garden",North,Owner,Under Construction
42,Maharashtra,Mumbai,Mumbai Suburban,Penthouse,1,643,286.19,44508.09,2006,Fully Furnished,11,14,18,1,0,Medium,None,Medium,"Lift,Intercom,Garden,Swimming Pool,CCTV,Gym,Power Backup",North,Agent,Under Construction
43,Maharashtra,Mumbai,Mumbai Outskirts,Apartment,3,1081,278.07,25723.63,2012,Semi-Furnished,18,26,12,4,1,High,None,Medium,"CCTV,Swimming Pool",East,Owner,Ready to Move
44,Tamil Nadu,Chennai,Chennai Suburban,Apartment,3,1444,246.44,17066.55,2023,Semi-Furnished,15,17,1,5,2,High,Single,High,"Club House,CCTV",North,Owner,Ready to Move
45,Tamil Nadu,Chennai,Chennai Rural,Apartment,3,1547,145.55,9408.28,2014,Unfurnished,17,22,10,7,0,High,None,Low,,West,Owner,Resale
46,Delhi,Delhi,Delhi Suburban,Apartment,5,2184,546.81,25036.95,1999,Unfurnished,21,26,25,2,1,Medium,None,High,"Garden,Play Area,Swimming Pool,Club House,Visitor Parking,Gym,Intercom",North-East,Builder,Under Construction
47,Uttar Pradesh,Noida,Noida Outskirts,Apartment,1,470,53.34,11348.28,2023,Semi-Furnished,2,11,1,3,1,High,Single,Medium,"CCTV,Power Backup",North-West,Agent,Ready to Move
48,Uttar Pradesh,Lucknow,Lucknow Outskirts,Independent House,3,1797,129.27,7193.39,1995,Semi-Furnished,12,13,29,7,2,High,Single,Low,"Lift,Gym,Play Area,Visitor Parking,Club House,Garden,Swimming Pool",East,Agent,Ready to Move
49,Maharashtra,Mumbai,Mumbai Suburban,Apartment,3,1355,510.45,37671.91,2006,Fully Furnished,26,27,18,7,1,Medium,Single,High,"CCTV,Lift,Intercom,Power Backup,Garden",North-East,Builder,Resale
50,Uttar Pradesh,Noida,Noida Rural,Villa,1,617,82.14,13312.1,2007,Fully Furnished,25,33,17,1,5,High,Double,High,"Intercom,Lift",South,Builder,Ready to Move
51,Karnataka,Bangalore,Bangalore Suburban,Apartment,4,1768,482.07,27266.19,2017,Unfurnished,29,37,7,4,4,High,Double,High,"Visitor Parking,Lift",South,Builder,Ready to Move
52,Telangana,Hyderabad,Hyderabad Suburban,Apartment,5,2312,316.25,13678.49,2004,Unfurnished,20,28,20,2,5,Medium,None,High,"Intercom,Gym,Lift",North-West,Builder,Ready to Move
53,Telangana,Hyderabad,Hyderabad Central,Independent House,1,522,128.67,24650.14,1997,Fully Furnished,12,13,27,4,1,Medium,Single,High,"Visitor Parking,Play Area,Power Backup,Swimming Pool,Club House",North,Builder,Resale
54,Uttar Pradesh,Noida,Noida Suburban,Apartment,3,1544,257.63,16685.77,2022,Fully Furnished,1,5,2,0,4,Low,Double,Medium,"Gym,Garden,Club House,Power Backup,Play Area,CCTV",South,Builder,Ready to Move
55,Gujarat,Surat,Surat Outskirts,Independent House,3,1410,106.08,7523.59,1995,Fully Furnished,19,23,29,1,5,Medium,Single,Medium,Intercom,South,Builder,Ready to Move
56,Maharashtra,Mumbai,Mumbai Suburban,Apartment,2,1266,386.09,30496.72,1992,Semi-Furnished,4,12,32,3,1,Medium,Single,Medium,"Play Area,CCTV,Swimming Pool,Club House,Power Backup,Lift",South-West,Owner,Ready to Move
57,Telangana,Hyderabad,Hyderabad Suburban,Studio,3,1808,244.24,13508.63,2001,Semi-Furnished,9,12,23,2,4,Medium,Double,Medium,Gym,South-East,Owner,Ready to Move
58,West Bengal,Kolkata,Kolkata Outskirts,Independent House,3,1346,143.32,10647.76,2017,Fully Furnished,16,25,7,1,2,Medium,Single,High,"Gym,Intercom,Power Backup,Lift,Swimming Pool,Club House,Play Area",South-West,Owner,Ready to Move
59,West Bengal,Kolkata,Kolkata Suburban,Apartment,3,1466,159.73,10895.76,2017,Semi-Furnished,4,9,7,6,5,Low,None,Medium,Lift,North-East,Agent,Ready to Move
60,Telangana,Hyderabad,Hyderabad Central,Apartment,3,1633,299.94,18367.49,2005,Semi-Furnished,19,26,19,1,1,High,None,Low,"Intercom,Garden,Club House,Gym,Swimming Pool,CCTV",South,Builder,Ready to Move
61,Rajasthan,Jaipur,Jaipur Suburban,Independent House,2,1198,137.22,11453.71,1995,Semi-Furnished,8,10,29,6,0,High,Double,High,"Gym,Visitor Parking,Club House,Play Area",South,Agent,Resale
62,Tamil Nadu,Chennai,Chennai Outskirts,Apartment,1,660,71.12,10776.23,2008,Semi-Furnished,6,11,16,3,4,Medium,Single,Medium,"CCTV,Gym,Garden",East,Owner,Resale
63,Telangana,Hyderabad,Hyderabad Rural,Independent House,2,1359,191.47,14089.19,2005,Semi-Furnished,20,27,19,6,4,High,Single,High,"Visitor Parking,Intercom,Gym,Play Area,Swimming Pool,Club House",South-West,Owner,Under Construction
64,Maharashtra,Mumbai,Mumbai Outskirts,Apartment,3,1784,477.19,26748.18,2019,Unfurnished,25,34,5,2,3,Low,Single,High,"Club House,Swimming Pool,Power Backup,Lift,Intercom,Visitor Parking,CCTV",South-East,Agent,Under Construction
65,Delhi,Delhi,Delhi Suburban,Studio,3,1825,388.93,21311.41,1993,Semi-Furnished,25,30,31,1,2,High,Single,High,"Intercom,Lift",South-East,Owner,Ready to Move
66,West Bengal,Kolkata,Kolkata Prime,Villa,2,997,166.53,16702.62,1996,Fully Furnished,24,26,28,4,1,Medium,Single,High,,South-West,Builder,Ready to Move
67,Maharashtra,Pune,Pune Prime,Independent House,1,589,144.87,24596.68,1997,Fully Furnished,20,28,27,1,2,Medium,Single,Medium,"Play Area,Power Backup,CCTV,Club House,Gym",North-West,Builder,Under Construction
68,Uttar Pradesh,Noida,Noida Outskirts,Apartment,2,1160,118.96,10255.22,2005,Semi-Furnished,22,23,19,3,3,Medium,Single,Low,"Club House,CCTV",West,Owner,Ready to Move
69,Rajasthan,Jaipur,Jaipur Suburban,Apartment,3,1361,122.72,9016.71,2000,Unfurnished,8,9,24,2,3,Medium,Double,High,"Power Backup,Play Area,Swimming Pool,Gym,Garden",South-East,Builder,Under Construction
70,Uttar Pradesh,Noida,Noida Central,Apartment,2,1420,158.6,11168.86,1991,Unfurnished,14,19,33,2,1,Low,Double,Medium,Visitor Parking,North,Owner,Resale
71,Delhi,Delhi,Delhi Suburban,Apartment,2,1181,296.9,25139.92,2007,Fully Furnished,13,17,17,4,3,High,None,Low,Lift,South,Owner,Resale
72,Delhi,Delhi,Delhi Suburban,Independent House,1,510,111.66,21893.83,1993,Fully Furnished,6,7,31,3,0,Low,Single,Low,"Gym,Intercom,Play Area",North-East,Builder,Under Construction
73,Madhya Pradesh,Indore,Indore Central,Independent House,2,1062,81.7,7693.29,1994,Semi-Furnished,22,30,30,0,4,Low,Single,High,Swimming Pool,West,Builder,Ready to Move
74,Gujarat,Ahmedabad,Ahmedabad Suburban,Villa,4,2177,226.53,10405.38,2002,Unfurnished,9,14,22,0,0,Low,Single,High,Intercom,South-West,Agent,Under Construction
75,Delhi,Delhi,Delhi Prime,Apartment,3,2033,734.08,36108.38,2013,Fully Furnished,10,11,11,2,0,High,Single,Medium,"Gym,Swimming Pool,Power Backup,Lift,CCTV",North-East,Owner,Resale
76,Tamil Nadu,Chennai,Chennai Outskirts,Independent House,4,1953,263.52,13493.29,2004,Fully Furnished,8,10,20,1,2,Low,Single,High,,South,Owner,Under Construction
77,Delhi,Delhi,Delhi Outskirts,Apartment,2,932,164.88,17690.94,2019,Semi-Furnished,21,25,5,3,4,Medium,Single,Low,"Lift,Power Backup,Swimming Pool,Intercom",North-East,Builder,Resale
78,Maharashtra,Mumbai,Mumbai Central,Independent House,2,1137,474.38,41722.41,1991,Fully Furnished,27,29,33,4,4,High,Double,Medium,"Swimming Pool,Intercom",South-West,Owner,Ready to Move
79,Gujarat,Surat,Surat Outskirts,Independent House,2,1132,76.42,6750.79,1993,Semi-Furnished,2,5,31,7,2,Medium,Double,Medium,Lift,West,Owner,Resale
80,Gujarat,Ahmedabad,Ahmedabad Suburban,Independent House,3,1741,205.11,11781.18,1993,Semi-Furnished,18,23,31,6,4,Medium,Double,Medium,Gym,West,Agent,Ready to Move
81,Maharashtra,Mumbai,Mumbai Prime,Villa,3,1996,1232.12,61729.64,2020,Semi-Furnished,17,20,4,3,3,Medium,Single,Low,"Play Area,Swimming Pool,Gym,CCTV,Club House,Garden,Visitor Parking",North-West,Builder,Ready to Move
82,Uttar Pradesh,Noida,Noida Central,Penthouse,5,1903,392.03,20600.86,1993,Semi-Furnished,16,22,31,3,2,Medium,Double,High,"Visitor Parking,Play Area,Club House,Lift,Swimming Pool,Intercom",East,Builder,Resale
83,Madhya Pradesh,Indore,Indore Suburban,Independent House,2,1265,114.28,9034.21,1999,Fully Furnished,16,21,25,7,4,High,Single,Low,"Power Backup,CCTV,Lift,Intercom,Visitor Parking,Garden",West,Builder,Resale
84,Karnataka,Bangalore,Bangalore Prime,Studio,2,1067,323.21,30291.38,2020,Fully Furnished,15,21,4,1,0,High,None,Medium,"Visitor Parking,Lift,Play Area,Intercom,Power Backup,Gym,Club House",East,Builder,Resale
85,Tamil Nadu,Chennai,Chennai Outskirts,Apartment,4,1964,239.73,12206.08,2007,Semi-Furnished,25,30,17,4,2,High,None,Medium,"Club House,Swimming Pool",North-East,Builder,Ready to Move
86,Maharashtra,Mumbai,Mumbai Suburban,Independent House,4,2852,1107.49,38831.92,2006,Fully Furnished,21,22,18,1,5,Low,Double,Medium,"Garden,Visitor Parking,Club House,Power Backup",South-East,Owner,Ready to Move
87,Maharashtra,Mumbai,Mumbai Suburban,Apartment,3,1394,438.82,31478.94,2011,Fully Furnished,13,17,13,6,4,Medium,None,Medium,"Visitor Parking,Power Backup,Lift,Club House",South-West,Owner,Resale
88,Gujarat,Ahmedabad,Ahmedabad Central,Apartment,4,1998,221.84,11103.05,2001,Unfurnished,18,26,23,1,3,High,Single,Medium,"Club House,Gym,Power Backup,Visitor Parking,Lift,Garden",South-West,Agent,Resale
89,Uttar Pradesh,Lucknow,Lucknow Suburban,Villa,3,1502,155.06,10323.85,2005,Fully Furnished,8,15,19,0,4,High,Single,Medium,"Garden,Swimming Pool,Intercom",North,Agent,Ready to Move
90,Maharashtra,Mumbai,Mumbai Suburban,Penthouse,3,1493,743.03,49767.69,2010,Unfurnished,11,20,14,7,1,High,Double,Medium,"Garden,Visitor Parking,CCTV,Club House,Intercom,Gym,Lift",East,Owner,Under Construction
91,Uttar Pradesh,Ghaziabad,Ghaziabad Outskirts,Apartment,3,1559,143.15,9181.87,2017,Semi-Furnished,1,5,7,6,5,High,Single,High,"Play Area,CCTV,Visitor Parking,Intercom,Power Backup,Lift",North-East,Owner,Resale
92,Gujarat,Ahmedabad,Ahmedabad Prime,Studio,2,1206,153.93,12763.64,2003,Semi-Furnished,22,24,21,3,4,Medium,Single,High,"Intercom,Power Backup,Visitor Parking,Club House,Play Area",East,Agent,Resale
93,Karnataka,Bangalore,Bangalore Prime,Apartment,4,2108,694.14,32929.02,2022,Fully Furnished,29,38,2,7,3,Medium,Single,Medium,"Play Area,Power Backup",North-West,Agent,Ready to Move
94,Maharashtra,Mumbai,Mumbai Central,Penthouse,3,1394,617.08,44266.56,2009,Unfurnished,20,25,15,4,2,Medium,Single,Medium,,West,Agent,Ready to Move
95,Delhi,Delhi,Delhi Central,Villa,4,2458,822.9,33478.28,2011,Semi-Furnished,27,31,13,3,4,High,Single,Medium,"Garden,Club House",West,Owner,Resale
96,Telangana,Hyderabad,Hyderabad Suburban,Apartment,3,1182,188.7,15964.2,2002,Semi-Furnished,19,27,22,4,5,High,None,High,"Lift,Garden,CCTV",North,Builder,Ready to Move
97,Tamil Nadu,Chennai,Chennai Suburban,Penthouse,4,2608,597.73,22918.93,2008,Fully Furnished,13,14,16,3,4,High,Single,Medium,"Play Area,Lift,CCTV,Club House",North-West,Builder,Ready to Move
98,Maharashtra,Pune,Pune Central,Apartment,3,1632,372.92,22850.43,2009,Fully Furnished,27,35,15,0,0,Medium,Single,High,Visitor Parking,North-West,Builder,Ready to Move
99,Tamil Nadu,Chennai,Chennai Central,Apartment,4,2101,404.38,19246.98,2010,Fully Furnished,14,19,14,5,0,Low,Single,High,"Visitor Parking,CCTV,Intercom,Gym,Play Area",North-East,Agent,Under Construction
100,West Bengal,Kolkata,Kolkata Suburban,Apartment,3,1032,118.24,11457.54,2022,Unfurnished,25,34,2,7,1,Low,Single,Low,"CCTV,Lift,Play Area,Swimming Pool,Power Backup,Club House,Garden",East,Builder,Ready to Move
101,West Bengal,Kolkata,Kolkata Rural,Apartment,2,1402,85.34,6086.9,1992,Semi-Furnished,23,31,32,2,4,Medium,None,Low,"Garden,Play Area,Gym,Visitor Parking,Power Backup,CCTV,Lift",South,Agent,Ready to Move
102,West Bengal,Kolkata,Kolkata Suburban,Penthouse,4,1893,276.79,14621.51,2006,Fully Furnished,14,18,18,4,5,Medium,None,Medium,Gym,North-East,Builder,Ready to Move
103,West Bengal,Kolkata,Kolkata Outskirts,Apartment,2,1431,130.72,9134.98,2007,Semi-Furnished,16,19,17,7,5,Medium,Single,Medium,"Swimming Pool,Intercom,Lift,Visitor Parking",South,Owner,Under Construction
104,Delhi,Delhi,Delhi Suburban,Apartment,3,1456,357.13,24528.17,2006,Unfurnished,11,17,18,2,2,Medium,None,High,"Swimming Pool,CCTV,Play Area,Power Backup,Intercom",South,Owner,Resale
105,West Bengal,Kolkata,Kolkata Outskirts,Apartment,4,2052,233.07,11357.96,2022,Fully Furnished,16,17,2,7,2,Medium,Single,Low,"Gym,Garden,CCTV,Intercom,Club House,Power Backup",South,Owner,Under Construction
106,Tamil Nadu,Chennai,Chennai Prime,Penthouse,3,1341,362.81,27055.09,1996,Fully Furnished,25,26,28,5,2,High,Double,High,"CCTV,Swimming Pool,Club House,Visitor Parking",South-East,Builder,Ready to Move
107,Maharashtra,Mumbai,Mumbai Rural,Penthouse,2,1117,323.3,28943.81,2005,Fully Furnished,28,31,19,1,0,Medium,Double,High,"Gym,Visitor Parking,Lift",South-East,Agent,Ready to Move
108,Delhi,Delhi,Delhi Suburban,Penthouse,3,1069,424.25,39686.62,2014,Semi-Furnished,20,23,10,5,0,High,Double,Medium,"Gym,Club House,Power Backup",North-East,Agent,Under Construction
109,Karnataka,Bangalore,Bangalore Central,Villa,3,1383,430.7,31142.41,2004,Fully Furnished,11,12,20,0,0,Medium,None,Medium,"Club House,CCTV,Lift,Garden,Power Backup",North-East,Agent,Resale
110,West Bengal,Kolkata,Kolkata Suburban,Penthouse,4,2060,309.5,15024.3,2001,Semi-Furnished,5,13,23,2,4,Low,None,Medium,"Intercom,Garden,Gym",North,Builder,Ready to Move
111,Maharashtra,Nagpur,Nagpur Central,Studio,2,711,47.58,6692.43,2003,Semi-Furnished,15,17,21,2,3,Low,Double,Low,"Power Backup,Lift,Intercom,CCTV",West,Owner,Under Construction
112,Uttar Pradesh,Noida,Noida Central,Villa,2,955,141.12,14776.86,1990,Semi-Furnished,7,13,34,3,4,Medium,Single,Low,"Play Area,Club House,Gym,Intercom,Swimming Pool",North-West,Builder,Ready to Move
113,Maharashtra,Pune,Pune Outskirts,Apartment,3,1531,154.96,10121.41,1990,Unfurnished,27,33,34,3,3,Medium,Single,Low,"Visitor Parking,Garden,CCTV",South-East,Builder,Ready to Move
114,Maharashtra,Pune,Pune Suburban,Apartment,1,670,117.51,17538.89,1998,Semi-Furnished,6,10,26,7,2,High,Single,Medium,"CCTV,Visitor Parking,Swimming Pool,Intercom",West,Owner,Ready to Move
115,Delhi,Delhi,Delhi Suburban,Villa,3,1860,657.69,35359.5,2015,Unfurnished,16,23,9,0,1,Medium,Single,High,"Swimming Pool,Lift,Gym,Power Backup,Club House,CCTV,Intercom",South-East,Agent,Ready to Move
116,Maharashtra,Mumbai,Mumbai Outskirts,Apartment,2,1199,337.94,28185.53,2022,Semi-Furnished,10,18,2,1,5,Medium,Single,Medium,"Gym,Club House,Garden,Intercom",North-East,Owner,Under Construction
117,Gujarat,Ahmedabad,Ahmedabad Suburban,Apartment,2,1101,125.0,11353.47,2015,Semi-Furnished,8,12,9,5,0,Low,Single,High,"Play Area,Gym,Club House,Power Backup,Garden,Intercom",East,Builder,Under Construction
118,Rajasthan,Jaipur,Jaipur Outskirts,Apartment,2,1049,95.78,9130.59,2013,Semi-Furnished,16,20,11,1,5,High,Single,High,"Gym,CCTV,Lift",North-East,Builder,Ready to Move
119,Tamil Nadu,Chennai,Chennai Prime,Apartment,3,1374,270.5,19686.89,2007,Fully Furnished,6,7,17,4,3,Medium,Single,Medium,,East,Builder,Ready to Move
120,Karnataka,Bangalore,Bangalore Central,Villa,5,2374,715.2,30126.52,2001,Semi-Furnished,18,23,23,1,2,Medium,Single,High,"Gym,Visitor Parking,Swimming Pool,Club House,Garden,Lift",South-East,Owner,Ready to Move
121,Maharashtra,Mumbai,Mumbai Prime,Studio,3,1212,536.23,44243.56,2016,Semi-Furnished,14,22,8,7,4,High,Double,Medium,"CCTV,Lift,Visitor Parking",South-East,Builder,Resale
122,Maharashtra,Mumbai,Mumbai Central,Apartment,5,1426,431.37,30250.08,1992,Fully Furnished,28,32,32,7,2,Low,None,Medium,"Club House,Gym",North,Builder,Ready to Move
123,Rajasthan,Jaipur,Jaipur Outskirts,Apartment,3,1465,102.93,7026.15,1998,Unfurnished,26,28,26,0,2,Medium,Single,Medium,"Swimming Pool,Intercom,Play Area,Lift,Gym,Visitor Parking,Power Backup",East,Builder,Resale
124,Telangana,Hyderabad,Hyderabad Suburban,Independent House,4,2318,313.41,13520.86,2006,Semi-Furnished,29,38,18,1,2,Low,None,Medium,"Swimming Pool,Lift,Play Area",South-East,Owner,Ready to Move
125,Uttar Pradesh,Lucknow,Lucknow Outskirts,Independent House,1,618,40.45,6545.71,1993,Semi-Furnished,1,8,31,7,2,Medium,Single,Medium,"Lift,Play Area,Swimming Pool,Garden,Visitor Parking,Intercom,CCTV",East,Builder,Ready to Move
126,Karnataka,Bangalore,Bangalore Prime,Independent House,4,1723,416.78,24189.17,1992,Unfurnished,6,14,32,1,2,Medium,Single,Low,,North-East,Owner,Ready to Move
127,Telangana,Hyderabad,Hyderabad Suburban,Apartment,3,1446,231.56,16013.54,1996,Unfurnished,12,16,28,6,5,High,Double,Medium,"Power Backup,Club House,Intercom",North-East,Agent,Ready to Move
128,Delhi,Delhi,Delhi Suburban,Apartment,3,1640,445.51,27165.18,1999,Semi-Furnished,6,9,25,1,0,High,Single,Medium,"Intercom,Swimming Pool,Gym,Play Area,Garden",West,Owner,Under Construction
